abejaip	_ _
nimanidotil	_ n' i m a n' i d oo t' i l _
nimap	_ n' i m a p _
nimard	_ n' i m a r t _
nimarek	_ n' i m a r' e k _
nimarekotof	_ n' i m a r' e k oo t oo f _
nimargorp	_ n' i m a r g oo r p _
nimarolhc	_ n' i m a r oo l h ts _
nimaronap	_ n' i m a r oo n a p _
nimarta	_ n' i m a r t a _
nimatefna	_ n' i m a t' e f n a _
nimatek	_ n' i m a t' e k _
nimativ	_ n' i m a t' i v _
nimativirt	_ n' i m a t' i v' i r t _
nimativitna	_ n' i m a t' i v' i t n a _
nimativorp	_ n' i m a t' i v oo r p _
nimatorp	_ n' i m a t oo r p _
nimatsic	_ n' i m a t' s' i ts _
nimatsih	_ n' i m a t' s' i h _
nimatuilg	_ n' i m a t u j l k _
nimatulg	_ n' i m a t u l k _
nimazge	_ n' i m a z' g' e _
nimazlab	_ n' i m a z l a p _
nimazokuilg	_ n' i m a z oo k u j l k _
nimazotkurf	_ n' i m a z oo t k u r f _
nimað	_ n' i m a S _
nimaðap	_ n' i m a S a p _
nimdeg	_ n' i m' d' e k _
nimdiav	_ n' i m' d' e v _
nimdo	_ n' i m d oo _
nimedaka	_ n' i m' e d a k a _
nimedipe	_ n' i m' e d' i p' e _
nimedipeðeirp	_ n' i m' e d' i p' e S' e j r p _
nimedne	_ n' i m' e d' n' e _
nimehc	_ n' i m' e h ts _
nimehcoegoib	_ n' i m' e h ts oo e g oo j p _
nimehcoegoke	_ n' i m' e h ts oo e g oo k' e _
nimehcoib	_ n' i m' e h ts oo j p _
nimehcomzalp	_ n' i m' e h ts oo m z a l p _
nimehconahcem	_ n' i m' e h ts oo n a h' ts' e m _
nimehcotil	_ n' i m' e h ts oo t' i l _
nimehcotof	_ n' i m' e h ts oo t oo f _
nimehcs	_ n' i m' e h ts s _
nimehcðeirp	_ n' i m' e h' ts' S' e j r p _
nimeik	_ n' i m' e j k _
nimeikneiv	_ n' i m' e j k' n' e j v _
nimeiþ	_ n' i m' e j S _
nimelborp	_ n' i m' e l b oo r p _
nimelop	_ n' i m' e l oo p _
nimerk	_ n' i m' e r k _
nimertske	_ n' i m' e r' t' s' k' e _
nimet	_ n' i m' e t _
nimetsipe	_ n' i m' e t' s' i p' e _
nimetsis	_ n' i m' e t' s' i s _
nimetsissnart	_ n' i m' e t' s' i s s n a r t _
nimeþ	_ n' i m' e S _
nimeþdouj	_ n' i m' e Z d oo w j' _
nimeþop	_ n' i m' e Z oo p _
nimeþtna	_ n' i m' e S t n a _
nimg	_ n' i m k _
nimgaj	_ n' i m g a j' _
nimgamoretsih	_ n' i m g a m oo r' e t' s' i h _
nimgidarap	_ n' i m' g' i d a r a p _
nimgie	_ n' i m' g' ie _
nimgla	_ n' i m g l a _
nimgod	_ n' i m g oo t _
nimgyd	_ n' i m' g' ii t _
nimiak	_ n' i m' e k _
nimiavas	_ n' i m' e v a s _
nimideg	_ n' i m' i d' e k _
nimidiaþ	_ n' i m' i d' e S _
nimiduard	_ n' i m' i d u a r t _
nimieð	_ n' i m' ie S _
nimig	_ n' i m' i k _
nimigedþu	_ n' i m' i g' e dZ u _
nimigedþuðeirp	_ n' i m' i g' e dZ u S' e j r p _
nimihcnezem	_ n' i m' i h' ts' n' e z' e m _
nimik	_ n' i m' i k _
nimiknir	_ n' i m' i k' n' i r _
nimikniriki	_ n' i m' i k' n' i r' i k' i _
nimiknirop	_ n' i m' i k' n' i r oo p _
nimiknirðeirp	_ n' i m' i k' n' i r' S' e j r p _
nimikuaðiki	_ n' i m' i k u a S' i k' i _
nimil	_ n' i m' i l _
nimiliag	_ n' i m' i l' e k _
nimilikusop	_ n' i m' i l' i k u s oo p _
nimilikusprat	_ n' i m' i l' i k u s p r a t _
nimils	_ n' i m' i l s _
niminona	_ n' i m' i n oo n a _
niminonis	_ n' i m' i n oo n' i s _
niminoreteh	_ n' i m' i n oo r' e t' e h _
nimipalð	_ n' i m' i p a l S _
nimira	_ n' i m' i r a _
nimirdeg	_ n' i m' i r' d' e k _
nimit	_ n' i m' i t _
nimiterg	_ n' i m' i t' e r k _
nimitigel	_ n' i m' i t' i g' e l _
nimituj	_ n' i m' i t u j' _
nimitujtna	_ n' i m' i t u j' t n a _
nimivadrapðeirp	_ n' i m' i v a d r a p' S' e j r p _
nimiþev	_ n' i m' i Z' e v _
nimkes	_ n' i m' k' e s _
nimla	_ n' i m l a _
nimlav	_ n' i m l a v _
nimleg	_ n' i m' l' e k _
nimlek	_ n' i m' l' e k _
nimlif	_ n' i m' l' i f _
nimlik	_ n' i m' l' i k _
nimo	_ n' i m oo _
nimod	_ n' i m oo t _
nimoid	_ n' i m oo j t _
nimolpid	_ n' i m oo l' p' i t _
nimolpidop	_ n' i m oo l' p' i d oo p _
nimonib	_ n' i m oo n' i p _
nimonoke	_ n' i m oo n oo k' e _
nimonokeorkam	_ n' i m oo n oo k' e oo r k a m _
nimonokeorkim	_ n' i m oo n oo k' e oo r' k' i m _
nimonoreteh	_ n' i m oo n oo r' e t' e h _
nimonortsa	_ n' i m oo n oo r t s a _
nimonotua	_ n' i m oo n oo t u a _
nimorboet	_ n' i m oo r b oo e t _
nimordorp	_ n' i m oo r d oo r p _
nimoska	_ n' i m oo s k a _
nimota	_ n' i m oo t a _
nimotabus	_ n' i m oo t a b u s _
nimotana	_ n' i m oo t a n a _
nimotpmis	_ n' i m oo t' p' m' i s _
nimoul	_ n' i m oo w l _
nimouþu	_ n' i m oo w Z u _
nimra	_ n' i m r a _
nimrak	_ n' i m r a k _
nimrakogidni	_ n' i m r a k oo g' i d' n' i _
nimrat	_ n' i m r a t _
nimrað	_ n' i m r a S _
nimreda	_ n' i m' r' e d a _
nimreg	_ n' i m' r' e k _
nimreps	_ n' i m' r' e p s _
nimret	_ n' i m' r' e t _
nimretodne	_ n' i m' r' e t oo d' n' e _
nimretoeg	_ n' i m' r' e t oo e k _
nimretomoh	_ n' i m' r' e t oo m oo h _
nimretonets	_ n' i m' r' e t oo n' e t s _
nimretordih	_ n' i m' r' e t oo r' d' i h _
nimretozge	_ n' i m' r' e t oo z' g' e _
nimretozi	_ n' i m' r' e t oo z' i _
nimrik	_ n' i m' r' i k _
nimrip	_ n' i m' r' i p _
nimrofinu	_ n' i m r oo f' i n u _
nimron	_ n' i m r oo n _
nimronðriv	_ n' i m r oo n' S' r' i v _
nimruk	_ n' i m r u k _
nimsarp	_ n' i m s a r p _
nimse	_ n' i m' s' e _
nimsies	_ n' i m' s' ie s _
nimsiesorkam	_ n' i m' s' ie s oo r k a m _
nimsiesorkim	_ n' i m' s' ie s oo r' k' i m _
nimsiet	_ n' i m' s' ie t _
nimsietiki	_ n' i m' s' ie t' i k' i _
nimsiv	_ n' i m' s' i v _
nimskiev	_ n' i m' s' k' ie v _
nimskieveirp	_ n' i m' s' k' ie v' e j r p _
nimskuail	_ n' i m s k u a j l _
nimskû	_ n' i m s k uu _
nimsok	_ n' i m s oo k _
nimsrev	_ n' i m' s' r' e v _
nimsuaj	_ n' i m s u a j' _
nimsuard	_ n' i m s u a r t _
nimsuas	_ n' i m s u a s _
nimta	_ n' i m t a _
nimtie	_ n' i m' t' ie _
nimtir	_ n' i m' t' i r _
nimtiragol	_ n' i m' t' i r a g oo l _
nimtuat	_ n' i m t u a t _
nimuartop	_ n' i m u a r t oo p _
nimubla	_ n' i m u b l a _
nimug	_ n' i m u k _
nimugel	_ n' i m u g' e l _
nimuila	_ n' i m u j l a _
nimuilarud	_ n' i m u j l a r u t _
nimuks	_ n' i m u k s _
nimulig	_ n' i m u l' i k _
nimulis	_ n' i m u l' i s _
nimulið	_ n' i m u l' i S _
nimurpmat	_ n' i m u r p m a t _
nimus	_ n' i m u s _
nimusiv	_ n' i m u s' i v _
nimusuas	_ n' i m u s u a s _
nimut	_ n' i m u t _
nimutðkolp	_ n' i m u t S k oo l p _
nimuukav	_ n' i m u u k a v _
nimuukavortkele	_ n' i m u u k a v oo r' t' k' e l' e _
nimydmigop	_ n' i m' ii d' m' i g oo p _
nimydnab	_ n' i m' ii d n a p _
nimydrat	_ n' i m' ii d r a t _
nimydûp	_ n' i m' ii d uu p _
nimyt	_ n' i m' ii t _
nimytlab	_ n' i m' ii t l a p _
nimyðarp	_ n' i m' ii S a r p _
nimyðiam	_ n' i m' ii S' e m _
nimyþ	_ n' i m' ii S _
nimyþap	_ n' i m' ii Z a p _
nimzaj	_ n' i m z a j' _
nimzalp	_ n' i m z a l p _
nimzaps	_ n' i m z a p s _
nimër	_ n' i m' ee r _
nimërep	_ n' i m' ee r' e p _
nimëràs	_ n' i m' ee r aa s _
nimëta	_ n' i m' ee t a _
nimðei	_ n' i m' S' e j _
nimði	_ n' i m' S' i _
nimðkier	_ n' i m' S' k' ie r _
nimû	_ n' i m uu _
nimûd	_ n' i m uu t _
nimûrk	_ n' i m uu r k _
nimþyrk	_ n' i m' Z' ii r k _
ninadrak	_ n' i n a d r a k _
ninagaru	_ n' i n a g a r u _
ninagnam	_ n' i n a g n a m _
ninagro	_ n' i n a g r oo _
ninahcem	_ n' i n a h' ts' e m _
ninahcemomret	_ n' i n a h' ts' e m oo m' r' e t _
ninahcemomuenp	_ n' i n a h' ts' e m oo m u e n p _
ninahcemordih	_ n' i n a h' ts' e m oo r' d' i h _
ninahcemorkim	_ n' i n a h' ts' e m oo r' k' i m _
ninahcemotengam	_ n' i n a h' ts' e m oo t' e n g a m _
ninaic	_ n' i n a j ts _
ninaicolatf	_ n' i n a j ts oo l a t f _
ninaidem	_ n' i n a j d' e m _
ninaidirem	_ n' i n a j d' i r' e m _
ninailecrop	_ n' i n a j l' e ts r oo p _
ninaip	_ n' i n a j p _
ninakluv	_ n' i n a k l u v _
ninaks	_ n' i n a k s _
ninalem	_ n' i n a l' e m _
ninalos	_ n' i n a l oo s _
ninalp	_ n' i n a l p _
ninalptna	_ n' i n a l p t n a _
ninalpðriv	_ n' i n a l' p' S' r' i v _
ninamas	_ n' i n a m a s _
ninamor	_ n' i n a m oo r _
ninapard	_ n' i n a p a r t _
ninapmit	_ n' i n a p' m' i t _
ninarfas	_ n' i n a r f a s _
ninarotlop	_ n' i n a r oo t l oo p _
ninart	_ n' i n a r t _
ninarusnart	_ n' i n a r u s n a r t _
ninasus	_ n' i n a s u s _
ninat	_ n' i n a t _
ninatko	_ n' i n a t k oo _
ninatlumis	_ n' i n a t l u m' i s _
ninatna	_ n' i n a t n a _
ninatnops	_ n' i n a t n oo p s _
ninatob	_ n' i n a t oo p _
ninatoboeg	_ n' i n a t oo b oo e k _
ninats	_ n' i n a t s _
ninavlag	_ n' i n a v l a k _
ninavod	_ n' i n a v oo t _
ninavtðeirp	_ n' i n a v' t' S' e j r p _
ninazitrap	_ n' i n a z' i t r a p _
nineb	_ n' i n' e p _
ninecs	_ n' i n' e ts s _
nineda	_ n' i n' e d a _
ninednav	_ n' i n' e d n a v _
ninednavop	_ n' i n' e d n a v oo p _
ninednavtna	_ n' i n' e d n a v t n a _
ninednavðriv	_ n' i n' e d n a v' S' r' i v _
ninedoud	_ n' i n' e d oo w t _
ninedoudortsag	_ n' i n' e d oo w d oo r t s a k _
ninedur	_ n' i n' e d u r _
nineg	_ n' i n' e k _
ninegems	_ n' i n' e g' e m s _
ninegicalg	_ n' i n' e g' i ts a l k _
ninegitola	_ n' i n' e g' i t oo l a _
ninegizil	_ n' i n' e g' i z' i l _
ninegodne	_ n' i n' e g oo d' n' e _
ninegohcisp	_ n' i n' e g oo h' ts' i s p _
ninegoib	_ n' i n' e g oo j p _
ninegoidrak	_ n' i n' e g oo j d r a k _
ninegoirk	_ n' i n' e g oo j r k _
ninegokno	_ n' i n' e g oo k n oo _
ninegomoh	_ n' i n' e g oo m oo h _
ninegomsok	_ n' i n' e g oo m s oo k _
ninegonabru	_ n' i n' e g oo n a b r u _
ninegonagro	_ n' i n' e g oo n a g r oo _
ninegonhcet	_ n' i n' e g oo n' h' ts' e t _
ninegonimirk	_ n' i n' e g oo n' i m' i r k _
ninegonoj	_ n' i n' e g oo n oo j' _
ninegopil	_ n' i n' e g oo p' i l _
ninegoportna	_ n' i n' e g oo p oo r t n a _
ninegordih	_ n' i n' e g oo r' d' i h _
ninegorea	_ n' i n' e g oo r' e a _
ninegoreclu	_ n' i n' e g oo r' e ts l u _
ninegorecnak	_ n' i n' e g oo r' e ts n a k _
ninegoreteh	_ n' i n' e g oo r' e t' e h _
ninegorga	_ n' i n' e g oo r g a _
ninegoriepe	_ n' i n' e g oo r' ie p' e _
ninegorip	_ n' i n' e g oo r' i p _
ninegoskelfer	_ n' i n' e g oo s' k' e l' f' e r _
ninegotamos	_ n' i n' e g oo t a m oo s _
ninegotap	_ n' i n' e g oo t a p _
ninegotapeh	_ n' i n' e g oo t a p' e h _
ninegotapotiforga	_ n' i n' e g oo t a p oo t' i f oo r g a _
ninegotic	_ n' i n' e g oo t' i ts _
ninegotif	_ n' i n' e g oo t' i f _
ninegotil	_ n' i n' e g oo t' i l _
ninegotsih	_ n' i n' e g oo t' s' i h _
ninegotua	_ n' i n' e g oo t u a _
ninegozge	_ n' i n' e g oo z' g' e _
ninegrepih	_ n' i n' e g' r' e p' i h _
ninei	_ n' i n' e j _
nineid	_ n' i n' e j t _
nineidnaið	_ n' i n' e j d n a j S _
nineidrudivop	_ n' i n' e j d r u d' i v oo p _
nineidsak	_ n' i n' e j t s a k _
nineigih	_ n' i n' e j g' i h _
nineigihitna	_ n' i n' e j g' i h' i t n a _
nineigihoeg	_ n' i n' e j g' i h oo e k _
nineilaþ	_ n' i n' e j l a S _
nineilp	_ n' i n' e j l p _
nineip	_ n' i n' e j p _
nineis	_ n' i n' e j s _
nineisap	_ n' i n' e j s a p _
nineisþu	_ n' i n' e j z Z u _
nineiv	_ n' i n' e j v _
nineið	_ n' i n' e j S _
nineiþar	_ n' i n' e j Z a r _
ninel	_ n' i n' e l _
ninelep	_ n' i n' e l' e p _
ninelev	_ n' i n' e l' e v _
ninem	_ n' i n' e m _
ninemdid	_ n' i n' e m' d' i t _
ninemeiks	_ n' i n' e m' e j k s _
ninemeil	_ n' i n' e m' e j l _
ninemka	_ n' i n' e m k a _
ninemkier	_ n' i n' e m' k' ie r _
ninemklums	_ n' i n' e m k l u m s _
ninemleð	_ n' i n' e m' l' e S _
ninemleþ	_ n' i n' e m' l' e S _
ninemourdneb	_ n' i n' e m oo w r' d' n' e p _
ninemousiv	_ n' i n' e m oo w s' i v _
ninemousivitna	_ n' i n' e m oo w s' i v' i t n a _
ninempurt	_ n' i n' e m p u r t _
ninemreð	_ n' i n' e m' r' e S _
ninemsa	_ n' i n' e m s a _
ninemsaprat	_ n' i n' e m s a p r a t _
ninemtats	_ n' i n' e m t a t s _
ninemtiaks	_ n' i n' e m' t' e k s _
ninemuar	_ n' i n' e m u a r _
ninemuarprat	_ n' i n' e m u a r p r a t _
ninemuke	_ n' i n' e m u k' e _
ninemës	_ n' i n' e m' ee s _
ninemða	_ n' i n' e m S a _
ninemðoup	_ n' i n' e m S oo w p _
ninemþam	_ n' i n' e m Z a m _
ninemþu	_ n' i n' e m Z u _
ninepa	_ n' i n' e p a _
ninepek	_ n' i n' e p' e k _
niner	_ n' i n' e r _
ninerevus	_ n' i n' e r' e v u s _
ninerporolhcilop	_ n' i n' e r p oo r oo l' h' ts' i l oo p _
ninesej	_ n' i n' e s' e j' _
ninetram	_ n' i n' e t r a m _
ninetsa	_ n' i n' e t s a _
ninev	_ n' i n' e v _
ninevartni	_ n' i n' e v a r' t' n' i _
ninevup	_ n' i n' e v u p _
nineðik	_ n' i n' e S' i k _
ningeg	_ n' i n' g' e k _
ningil	_ n' i n' g' i l _
ningu	_ n' i n g u _
ningud	_ n' i n g u t _
ninhcet	_ n' i n' h' ts' e t _
ninhcetilop	_ n' i n' h' ts' e t' i l oo p _
ninhcetnas	_ n' i n' h' ts' e t n a s _
ninhcetoidar	_ n' i n' h' ts' e t oo j d a r _
ninhcetomehcs	_ n' i n' h' ts' e t oo m' e h ts s _
ninhcetometsis	_ n' i n' h' ts' e t oo m' e t' s' i s _
ninhcetordih	_ n' i n' h' ts' e t oo r' d' i h _
ninhcetorga	_ n' i n' h' ts' e t oo r g a _
ninhcirts	_ n' i n' h' ts' i r t s _
ninialið	_ n' i n' e l' i S _
niniamap	_ n' i n' e m a p _
niniart	_ n' i n' e r t _
ninicidem	_ n' i n' i ts' i d' e m _
ninideiks	_ n' i n' i d' e j k s _
ninidnarg	_ n' i n' i d n a r k _
ninieþe	_ n' i n' ie Z' e _
ninifa	_ n' i n' i f a _
ninifamorhc	_ n' i n' i f a m oo r h ts _
ninihc	_ n' i n' i h ts _
niniklims	_ n' i n' i k' l' i m s _
niniknevt	_ n' i n' i k' n' e v t _
ninikotic	_ n' i n' i k oo t' i ts _
ninikðei	_ n' i n' i k' S' e j _
ninikðram	_ n' i n' i k S r a m _
ninil	_ n' i n' i l _
ninilak	_ n' i n' i l a k _
ninilam	_ n' i n' i l a m _
ninilk	_ n' i n' i l k _
ninilpicsidprat	_ n' i n' i l' p' i ts' s' i t p r a t _
ninilsup	_ n' i n' i l s u p _
ninimativ	_ n' i n' i m a t' i v _
ninimatsihitna	_ n' i n' i m a t' s' i h' i t n a _
ninimig	_ n' i n' i m' i k _
ninimik	_ n' i n' i m' i k _
ninimretðeirp	_ n' i n' i m' r' e t' S' e j r p _
ninimuila	_ n' i n' i m u j l a _
ninipurt	_ n' i n' i p u r t _
ninirkodne	_ n' i n' i r k oo d' n' e _
ninirkoloh	_ n' i n' i r k oo l oo h _
ninirkopa	_ n' i n' i r k oo p a _
ninirkozge	_ n' i n' i r k oo z' g' e _
ninitas	_ n' i n' i t a s _
niniteirg	_ n' i n' i t' e j r k _
ninitilð	_ n' i n' i t' i l S _
ninitom	_ n' i n' i t oo m _
ninituilga	_ n' i n' i t u j l g a _
ninituilgameh	_ n' i n' i t u j l g a m' e h _
ninitûrk	_ n' i n' i t uu r k _
ninivork	_ n' i n' i v oo r k _
ninivoð	_ n' i n' i v oo S _
ninivð	_ n' i n' i v S _
ninizamrak	_ n' i n' i z a m r a k _
niniðal	_ n' i n' i S a l _
niniðam	_ n' i n' i S a m _
niniðed	_ n' i n' i S' e t _
niniðëlp	_ n' i n' i S' ee l p _
ninkart	_ n' i n k a r t _
ninkað	_ n' i n k a S _
ninkuk	_ n' i n k u k _
ninkurb	_ n' i n k u r p _
ninlakap	_ n' i n l a k a p _
ninle	_ n' i n' l' e _
ninlek	_ n' i n' l' e k _
ninlivdem	_ n' i n' l' i v' d' e m _
ninobrakoidar	_ n' i n oo b r a k oo j d a r _
ninodelak	_ n' i n oo d' e l a k _
ninofagnil	_ n' i n oo f a g' n' i l _
ninofelet	_ n' i n oo f' e l' e t _
ninofmis	_ n' i n oo f' m' i s _
ninogatnep	_ n' i n oo g a t' n' e p _
ninogav	_ n' i n oo g a v _
ninogil	_ n' i n oo g' i l _
ninogilceps	_ n' i n oo g' i l' ts' e p s _
ninograþ	_ n' i n oo g r a S _
ninoiger	_ n' i n oo j g' e r _
ninoilek	_ n' i n oo j l' e k _
ninoiporp	_ n' i n oo j p oo r p _
ninoirbme	_ n' i n oo j r' b' m' e _
ninoirbmetsop	_ n' i n oo j r' b' m' e t s oo p _
ninoj	_ n' i n oo j' _
ninojar	_ n' i n oo j' e r _
ninojarprat	_ n' i n oo j' e r p r a t _
ninojilim	_ n' i n oo j' i l' i m _
ninojilimaiguad	_ n' i n oo j' i l' i m a j g u a t _
ninojilimatmið	_ n' i n oo j' i l' i m a t' m' i S _
ninojilimguad	_ n' i n oo j' i l' i m g u a t _
ninokard	_ n' i n oo k a r t _
ninokeb	_ n' i n oo k' e p _
ninokseirp	_ n' i n oo k' s' e j r p _
ninolam	_ n' i n oo l a m _
ninolas	_ n' i n oo l a s _
ninolian	_ n' i n oo l' e n _
ninolkonom	_ n' i n oo l k oo n oo m _
ninomarp	_ n' i n oo m a r p _
ninomarporga	_ n' i n oo m a r p oo r g a _
ninomrah	_ n' i n oo m r a h _
ninomrahitna	_ n' i n oo m r a h' i t n a _
ninomrahne	_ n' i n oo m r a h' n' e _
ninonak	_ n' i n oo n a k _
ninopas	_ n' i n oo p a s _
ninopordih	_ n' i n oo p oo r' d' i h _
ninorhc	_ n' i n oo r h ts _
ninorhcnis	_ n' i n oo r' h' ts' n' i s _
ninorhcnisa	_ n' i n oo r' h' ts' n' i s a _
ninorhcozi	_ n' i n oo r h ts oo z' i _
ninorkimbus	_ n' i n oo r' k' i m b u s _
ninorpak	_ n' i n oo r p a k _
ninortap	_ n' i n oo r t a p _
ninortkeleneiv	_ n' i n oo r' t' k' e l' e n' e j v _
ninortkeleoidar	_ n' i n oo r' t' k' e l' e oo j d a r _
ninortkeleotof	_ n' i n oo r' t' k' e l' e oo t oo f _
ninortkeleotpo	_ n' i n oo r' t' k' e l' e oo t p oo _
ninortkeleprat	_ n' i n oo r' t' k' e l' e p r a t _
ninorveð	_ n' i n oo r' v' e S _
ninosaf	_ n' i n oo s a f _
ninot	_ n' i n oo t _
ninoteb	_ n' i n oo t' e p _
ninotebþleg	_ n' i n oo t' e b' Z' l' e k _
ninothcola	_ n' i n oo t h ts oo l a _
ninothcotua	_ n' i n oo t h ts oo t u a _
ninotilop	_ n' i n oo t' i l oo p _
ninotireporter	_ n' i n oo t' i r' e p oo r' t' e r _
ninotket	_ n' i n oo t' k' e t _
ninotketihcra	_ n' i n oo t' k' e t' i h ts r a _
ninotketoen	_ n' i n oo t' k' e t oo e n _
ninotnas	_ n' i n oo t n a s _
ninotnop	_ n' i n oo t n oo p _
ninotok	_ n' i n oo t oo k _
ninotonom	_ n' i n oo t oo n oo m _
ninotores	_ n' i n oo t oo r' e s _
ninotozi	_ n' i n oo t oo z' i _
ninotrak	_ n' i n oo t r a k _
ninotrepih	_ n' i n oo t' r' e p' i h _
ninotðak	_ n' i n oo t S a k _
ninoud	_ n' i n oo w t _
ninouga	_ n' i n oo w g a _
ninoval	_ n' i n oo v a l _
ninovrid	_ n' i n oo v' r' i t _
ninoz	_ n' i n oo s _
ninozem	_ n' i n oo z' e m _
ninozes	_ n' i n oo z' e s _
ninozesimed	_ n' i n oo z' e s' i m' e t _
ninozprat	_ n' i n oo s p r a t _
ninoð	_ n' i n oo S _
ninoðap	_ n' i n oo S a p _
ninrak	_ n' i n r a k _
ninraps	_ n' i n r a p s _
ninrapsap	_ n' i n r a p s a p _
ninrav	_ n' i n r a v _
ninravd	_ n' i n r a v t _
ninraþ	_ n' i n r a S _
ninraþprat	_ n' i n r a S p r a t _
ninrevak	_ n' i n' r' e v a k _
ninreð	_ n' i n' r' e S _
ninrits	_ n' i n' r' i t s _
ninriþ	_ n' i n' r' i S _
ninskeis	_ n' i n' s' k' e j s _
ninskla	_ n' i n s k l a _
ninskladouj	_ n' i n s k l a d oo w j' _
ninsknileirp	_ n' i n' s' k' n' i l' e j r p _
ninsknulp	_ n' i n s k n u l p _
ninskouls	_ n' i n s k oo w l s _
ninsoulg	_ n' i n s oo w l k _
ninspeil	_ n' i n' s' p' e j l _
ninspial	_ n' i n' s' p' e l _
ninspialap	_ n' i n' s' p' e l a p _
ninte	_ n' i n' t' e _
ninuaik	_ n' i n u a j k _
ninuaiþ	_ n' i n u a j S _
ninualð	_ n' i n u a l S _
ninujejortsag	_ n' i n u j' e j' oo r t s a k _
ninumi	_ n' i n u m' i _
ninumioidar	_ n' i n u m' oo j d a r _
ninumiotua	_ n' i n u m' oo t u a _
ninuð	_ n' i n u S _
ninydelop	_ n' i n' ii d' e l oo p _
ninydelprat	_ n' i n' ii d' e l p r a t _
ninydelðeirp	_ n' i n' ii d' e l' S' e j r p _
ninydoþ	_ n' i n' ii d oo S _
ninydþgiavþ	_ n' i n' ii dZ' g' e v S _
ninydþgrivþ	_ n' i n' ii dZ' g' r' i v S _
ninyl	_ n' i n' ii l _
ninymeþ	_ n' i n' ii m' e S _
ninymeþprat	_ n' i n' ii m' e S p r a t _
ninymiak	_ n' i n' ii m' e k _
ninymieð	_ n' i n' ii m' ie S _
ninymk	_ n' i n' ii m k _
ninyrdëv	_ n' i n' ii r' d' ee v _
ninyrg	_ n' i n' ii r k _
ninytknel	_ n' i n' ii t' k' n' e l _
ninytlims	_ n' i n' ii t' l' i m s _
ninyv	_ n' i n' ii v _
ninyvët	_ n' i n' ii v' ee t _
ninyvþ	_ n' i n' ii v S _
ninëlev	_ n' i n' ee l' e v _
ninënoj	_ n' i n' ee n oo j' _
ninërod	_ n' i n' ee r oo t _
ninðkið	_ n' i n' S' k' i S _
ninðkniv	_ n' i n' S' k' n' i v _
ninðkumreð	_ n' i n S k u m' r' e S _
ninðyv	_ n' i n' S' ii v _
ninûdlas	_ n' i n uu d l a s _
ninûgovs	_ n' i n uu g oo v s _
ninûk	_ n' i n uu k _
ninûkla	_ n' i n uu k l a _
ninûkrep	_ n' i n uu k' r' e p _
ninûlag	_ n' i n uu l a k _
ninûtrak	_ n' i n uu t r a k _
ninûðriv	_ n' i n uu S' r' i v _
ninþad	_ n' i n Z a t _
niog	_ n' oo k _
niok	_ n' oO k _
nioko	_ n' oo k oo _
niorbif	_ n' oo r' b' i f _
nioreh	_ n' oo r' e h _
niorgil	_ n' oo r' g' i l _
niozoretorp	_ n' oo z oo r' e t oo r p _
nip	_ n' i p _
nipak	_ n' i p a k _
nipal	_ n' i p a l _
nipalap	_ n' i p a l a p _
nipanak	_ n' i p a n a k _
niparap	_ n' i p a r a p _
nipard	_ n' i p a r t _
nipares	_ n' i p a r' e s _
nipasak	_ n' i p a s a k _
nipat	_ n' i p a t _
nipavk	_ n' i p a v k _
nipazouj	_ n' i p a z oo w j' _
nipe	_ n' i p' e _
nipeil	_ n' i p' e j l _
nipek	_ n' i p' e k _
nipet	_ n' i p' e t _
nipets	_ n' i p' e t s _
nipicnirp	_ n' i p' i ts' n' i r p _
nipierk	_ n' i p' ie r k _
nipil	_ n' i p' i l _
nipilif	_ n' i p' i l' i f _
nipit	_ n' i p' i t _
nipita	_ n' i p' i t a _
nipitilop	_ n' i p' i t' i l oo p _
nipitoerets	_ n' i p' i t oo e r' e t s _
nipits	_ n' i p' i t s _
nipla	_ n' i p l a _
niplasnart	_ n' i p l a s n a r t _
niplik	_ n' i p' l' i k _
niplupartni	_ n' i p l u p a r' t' n' i _
niplut	_ n' i p l u t _
nipluts	_ n' i p l u t s _
nipmak	_ n' i p m a k _
nipmakuaisup	_ n' i p m a k u a j s u p _
nipmek	_ n' i p' m' e k _
nipmilo	_ n' i p' m' i l oo _
nipmurt	_ n' i p m u r t _
nipmut	_ n' i p m u t _
nipokselet	_ n' i p oo k' s' e l' e t _
nipoksoerets	_ n' i p oo k s oo e r' e t s _
nipoksorgih	_ n' i p oo k s oo r' g' i h _
nipoksorkam	_ n' i p oo k s oo r k a m _
nipoksorkim	_ n' i p oo k s oo r' k' i m _
nipoksorkimoib	_ n' i p oo k s oo r' k' i m oo j p _
nipol	_ n' i p oo l _
niponak	_ n' i p oo n a k _
nipor	_ n' i p oo r _
niport	_ n' i p oo r t _
niporta	_ n' i p oo r t a _
niportbus	_ n' i p oo r d b u s _
niportilop	_ n' i p oo r' t' i l oo p _
niportnanis	_ n' i p oo r t n a n' i s _
niportneozi	_ n' i p oo r' t' n' e oo z' i _
niportodanog	_ n' i p oo r t oo d a n oo k _
niportohcisp	_ n' i p oo r t oo h' ts' i s p _
niportoiretkab	_ n' i p oo r t oo j r' e t k a p _
niportokitrok	_ n' i p oo r t oo k' i t r oo k _
niportokitrokonerda	_ n' i p oo r t oo k' i t r oo k oo n' e r d a _
niportonalem	_ n' i p oo r t oo n a l' e m _
niportonorhc	_ n' i p oo r t oo n oo r h ts _
niportoroetem	_ n' i p oo r t oo r oo e t' e m _
